file_name,host,host_type,collection_date,country,province,expected_role,genotype
EPI_ISL_16632516,herring_gull,wild bird,2022-07-08,USA,Maine,american_anchor,A2
EPI_ISL_16632517,great_black-backed_gull,wild bird,2022-07-08,USA,Massachusetts,american_anchor,A2
EPI_ISL_16632518,common_eider,wild bird,2022-07-07,USA,Massachusetts,american_anchor,A2
EPI_ISL_16632520,double-crested_cormorant,wild bird,2022-07-12,USA,Massachusetts,american_anchor,A2
EPI_ISL_16632522,herring_gull,wild bird,2022-07-14,USA,Massachusetts,american_anchor,A2
EPI_ISL_16632523,canada_goose,wild bird,2022-07-21,USA,Massachusetts,american_anchor,A2
EPI_ISL_16632538,herring_gull,wild bird,2022-06-28,USA,Maine,american_anchor,A2
EPI_ISL_16641776,sanderling,wild bird,2022-03-04,USA,Massachusetts,american_anchor,A2
EPI_ISL_16641779,double-crested_cormorant,wild bird,2022-06-12,USA,Massachusetts,american_anchor,A2
EPI_ISL_16641781,common_eider,wild bird,2022-06-17,USA,Massachusetts,american_anchor,A2
EPI_ISL_16641783,common_eider,wild bird,2022-06-25,USA,Massachusetts,american_anchor,A2
EPI_ISL_16641796,snowy_owl,wild bird,2022-02-07,USA,Massachusetts,american_anchor,A1
EPI_ISL_17154592,Vulpes_vulpes,wild mammal,2022-04-11,USA,,american_anchor,B1.1
EPI_ISL_17185803,black_vulture,wild bird,2022-08-30,USA,Georgia,american_anchor,B1.1
EPI_ISL_17185806,black_vulture,wild bird,2022-08-25,USA,South Carolina,american_anchor,B1.1
EPI_ISL_17185808,black_vulture,wild bird,2022-08-22,USA,Georgia,american_anchor,B1.1
EPI_ISL_17185809,bald_eagle,wild bird,2022-03-10,USA,North Carolina,american_anchor,B1.2
EPI_ISL_17185811,black_vulture,wild bird,2022-08-22,USA,South Carolina,american_anchor,B1.1
EPI_ISL_17185814,black_vulture,wild bird,2022-08-22,USA,Virginia,american_anchor,B1.1
EPI_ISL_17185876,black_vulture,wild bird,2022-08-24,USA,Georgia,american_anchor,B1.1
EPI_ISL_17185879,black_vulture,wild bird,2022-08-23,USA,Georgia,american_anchor,B1.1
EPI_ISL_17185882,black_vulture,wild bird,2022-08-31,USA,Georgia,american_anchor,B1.1
EPI_ISL_17185921,black_vulture,wild bird,2022-08-22,USA,Virginia,american_anchor,B1.1
EPI_ISL_17185927,black_vulture,wild bird,2022-08-31,USA,Georgia,american_anchor,B1.1
EPI_ISL_17260664,fox,wild mammal,2022-04-19,USA,Wisconsin,american_anchor,B2.1
EPI_ISL_17260674,red_fox,wild mammal,2022-05-23,USA,North Dakota,american_anchor,B3.1
EPI_ISL_17260678,red_fox,wild mammal,2022-05-10,USA,Michigan,american_anchor,B1.1
EPI_ISL_17260681,red_fox,wild mammal,2022-06-15,USA,Alaska,american_anchor,B3.2
EPI_ISL_17260682,skunk,wild mammal,2022-06-07,USA,Washington,american_anchor,B3.2
EPI_ISL_17260684,red_fox,wild mammal,2022-07-06,USA,Michigan,american_anchor,B3.2
EPI_ISL_17260685,red_fox,wild mammal,2022-07-06,USA,Michigan,american_anchor,B1.1
EPI_ISL_17260686,red_fox,wild mammal,2022-07-06,USA,Michigan,american_anchor,B1.1
EPI_ISL_17260687,red_fox,wild mammal,2022-07-06,USA,Michigan,american_anchor,B1.1
EPI_ISL_17260688,raccoon,wild mammal,2022-07-06,USA,Michigan,american_anchor,B1.2
EPI_ISL_17260689,skunk,wild mammal,2022-07-22,USA,Idaho,american_anchor,B3.2
EPI_ISL_17424622,harbor_seal,wild mammal,2022-07-02,USA,Maine,american_anchor,A2
EPI_ISL_17424623,harbor_seal,wild mammal,2022-07-02,USA,Maine,american_anchor,A2
EPI_ISL_17424624,harbor_seal,wild mammal,2022-07-07,USA,Maine,american_anchor,A2
EPI_ISL_17424626,harbor_seal,wild mammal,2022-06-24,USA,Maine,american_anchor,A2
EPI_ISL_17424627,harbor_seal,wild mammal,2022-07-07,USA,Maine,american_anchor,A2
EPI_ISL_17424633,black_vulture,wild bird,2022-09-29,USA,Georgia,american_anchor,B1.1
EPI_ISL_17471937,black_vulture,wild bird,2022-08-31,USA,Georgia,american_anchor,B1.1
EPI_ISL_17690225,duck,wild bird,2022-09-23,USA,Louisiana,american_anchor,B3.2
EPI_ISL_17851850,duck,wild bird,2022-08-31,USA,Ohio,american_anchor,B1.3
EPI_ISL_17851860,silver_pheasant,domesticated bird,2022-08-31,USA,Ohio,american_anchor,B1.3
EPI_ISL_17885992,common_eider,wild bird,2022-06-23,USA,Massachusetts,american_anchor,A2
EPI_ISL_17885996,common_eider,wild bird,2022-06-23,USA,Massachusetts,american_anchor,A2
EPI_ISL_18107005,american_wigeon,wild bird,2022-01-25,USA,Tennessee,american_anchor,A1
EPI_ISL_18107020,gadwall_duck,wild bird,2022-01-25,USA,Tennessee,american_anchor,A1
EPI_ISL_18107021,gadwall_duck,wild bird,2022-01-25,USA,Tennessee,american_anchor,A1
EPI_ISL_18107024,green_winged_teal,wild bird,2022-09-17,USA,Minnesota,american_anchor,B1.3
EPI_ISL_18107025,mallard_duck,wild bird,2022-01-24,USA,Tennessee,american_anchor,A1
EPI_ISL_18107026,mallard_duck,wild bird,2022-01-24,USA,Tennessee,american_anchor,A1
EPI_ISL_18107030,mallard_duck,wild bird,2022-01-25,USA,Tennessee,american_anchor,A1
EPI_ISL_18107035,mallard_duck,wild bird,2022-01-25,USA,Tennessee,american_anchor,A1
EPI_ISL_18107041,mallard_duck,wild bird,2022-01-25,USA,Tennessee,american_anchor,A1
EPI_ISL_18107045,redhead_duck,wild bird,2022-09-19,USA,Minnesota,american_anchor,B1.3
EPI_ISL_18107046,mallard_duck,wild bird,2022-01-25,USA,Tennessee,american_anchor,A1
EPI_ISL_18107047,mallard_duck,wild bird,2022-01-25,USA,Tennessee,american_anchor,A1
EPI_ISL_18107048,mallard_duck,wild bird,2022-01-30,USA,Tennessee,american_anchor,A1
EPI_ISL_18107049,mallard_duck,wild bird,2022-01-31,USA,Tennessee,american_anchor,A1
EPI_ISL_18107050,mallard_duck,wild bird,2022-01-31,USA,Tennessee,american_anchor,A1
EPI_ISL_18132167,Snow_Goose,wild bird,2022-02-22,USA,Missouri,american_anchor,A1
EPI_ISL_18132169,Snow_Goose,wild bird,2022-02-22,USA,Missouri,american_anchor,A1
EPI_ISL_18132171,Snow_Goose,wild bird,2022-04-07,USA,Minnesota,american_anchor,B3.1
EPI_ISL_18132173,Snow_Goose,wild bird,2022-03-28,USA,Minnesota,american_anchor,B2.1
EPI_ISL_18132179,Snow_Goose,wild bird,2022-02-08,USA,Kentucky,american_anchor,A1
EPI_ISL_18132183,Snow_Goose,wild bird,2022-03-12,USA,Kansas,american_anchor,B2.1
EPI_ISL_18132189,Snow_Goose,wild bird,2022-03-04,USA,Missouri,american_anchor,B5.1
EPI_ISL_18132199,Snow_Goose,wild bird,2022-03-23,USA,North Dakota,american_anchor,B3.2
EPI_ISL_18132201,Snow_Goose,wild bird,2022-03-18,USA,South Dakota,american_anchor,B2.1
EPI_ISL_18132208,Snow_Goose,wild bird,2022-03-29,USA,North Dakota,american_anchor,B2.1
EPI_ISL_18132215,Snow_Goose,wild bird,2022-04-01,USA,North Dakota,american_anchor,B2.1
EPI_ISL_18132220,Snow_Goose,wild bird,2022-01-21,USA,North Carolina,american_anchor,A1
EPI_ISL_18132225,turkey,domesticated bird,2022-02-21,USA,Indiana,american_anchor,A1
EPI_ISL_18132229,Snow_Goose,wild bird,2022-02-24,USA,New Hampshire,american_anchor,A1
EPI_ISL_18132231,turkey,domesticated bird,2022-02-21,USA,Indiana,american_anchor,A1
EPI_ISL_18132233,Snow_Goose,wild bird,2022-04-05,USA,North Dakota,american_anchor,B3.1
EPI_ISL_18132242,turkey,domesticated bird,2022-02-14,USA,Indiana,american_anchor,A1
EPI_ISL_18132248,Snow_Goose,wild bird,2022-03-04,USA,Missouri,american_anchor,B2.1
EPI_ISL_18132254,turkey,domesticated bird,2022-02-07,USA,Indiana,american_anchor,A1
EPI_ISL_18132255,Snow_Goose,wild bird,2022-03-08,USA,Missouri,american_anchor,B2.1
EPI_ISL_18132256,Snow_Goose,wild bird,2022-02-23,USA,Missouri,american_anchor,A1
EPI_ISL_18132257,Snow_Goose,wild bird,2022-03-18,USA,South Dakota,american_anchor,B2.1
EPI_ISL_18132261,Snow_Goose,wild bird,2022-03-18,USA,South Dakota,american_anchor,Not assigned: No Matching Genotypes
EPI_ISL_18132264,Snow_Goose,wild bird,2022-02-22,USA,Missouri,american_anchor,A1
EPI_ISL_18132268,Snow_Goose,wild bird,2022-02-22,USA,Missouri,american_anchor,A1
EPI_ISL_18132282,turkey,domesticated bird,2022-02-14,USA,Indiana,american_anchor,A1
EPI_ISL_18132283,Snowy_Owl,wild bird,2022-03-25,USA,North Dakota,american_anchor,B2.1
EPI_ISL_18132295,Red-tailed_Hawk,wild bird,2022-03-23,USA,Wisconsin,american_anchor,Minor01
EPI_ISL_18132300,Snow_Goose,wild bird,2022-04-25,USA,North Dakota,american_anchor,B3.1
EPI_ISL_18132308,Snow_Goose,wild bird,2022-04-10,USA,North Dakota,american_anchor,B2.1
EPI_ISL_18132316,Snow_Goose,wild bird,2022-03-04,USA,Kansas,american_anchor,B2.1
EPI_ISL_18132319,Red-tailed_Hawk,wild bird,2022-04-21,USA,North Dakota,american_anchor,B2.1
EPI_ISL_18132343,Snow_Goose,wild bird,2022-04-05,USA,North Dakota,american_anchor,B2.1
EPI_ISL_18132348,Pheasant,domesticated bird,2022-04-12,USA,South Dakota,american_anchor,B2.1
EPI_ISL_18132349,Red-tailed_Hawk,wild bird,2022-04-25,USA,Minnesota,american_anchor,B2.1
EPI_ISL_18132362,Northern_Shoveler,wild bird,2022-01-29,USA,North Carolina,american_anchor,A1
EPI_ISL_18132364,Red-shouldered_Hawk,wild bird,2022-02-10,USA,Delaware,american_anchor,A1
EPI_ISL_18132365,Red-tailed_Hawk,wild bird,2022-04-12,USA,Minnesota,american_anchor,B2.1
EPI_ISL_18132366,Northern_Shoveler,wild bird,2022-01-08,USA,North Carolina,american_anchor,A1
EPI_ISL_18132369,Red-tailed_Hawk,wild bird,2022-04-14,USA,Minnesota,american_anchor,B2.1
EPI_ISL_18132370,Northern_Shoveler,wild bird,2022-01-31,USA,Delaware,american_anchor,A1
EPI_ISL_18132384,Red-tailed_Hawk,wild bird,2022-03-30,USA,Minnesota,american_anchor,B2.1
EPI_ISL_18132386,Snow_Goose,wild bird,2022-03-18,USA,Colorado,american_anchor,B2.1
EPI_ISL_18132403,Royal_Tern,wild bird,2022-02-18,USA,Florida,american_anchor,Minor01
EPI_ISL_18132423,Ross's_Goose,wild bird,2022-04-10,USA,North Dakota,american_anchor,B2.1
EPI_ISL_18132428,Ross's_Goose,wild bird,2022-03-12,USA,Kansas,american_anchor,B2.1
EPI_ISL_18132429,Ross's_Goose,wild bird,2022-04-07,USA,North Dakota,american_anchor,B2.1
EPI_ISL_18132448,Red-shouldered_Hawk,wild bird,2022-02-01,USA,North Carolina,american_anchor,B1.1
EPI_ISL_18132458,Ring-necked_Duck,wild bird,2022-03-11,USA,Missouri,american_anchor,B1.1
EPI_ISL_18132459,Snow_Goose,wild bird,2022-02-28,USA,Kansas,american_anchor,A1
EPI_ISL_18132464,Red-shouldered_Hawk,wild bird,2022-04-18,USA,Minnesota,american_anchor,B2.1
EPI_ISL_18132476,Ross's_Goose,wild bird,2022-03-23,USA,North Dakota,american_anchor,B2.1
EPI_ISL_18132478,Wood_Duck,wild bird,2022-01-29,USA,North Carolina,american_anchor,A1
EPI_ISL_18132486,Ross's_Goose,wild bird,2022-04-05,USA,North Dakota,american_anchor,B2.1
EPI_ISL_18132496,Snow_Goose,wild bird,2022-03-18,USA,Colorado,american_anchor,B2.1
EPI_ISL_18132500,turkey,domesticated bird,2022-04-10,USA,Wisconsin,american_anchor,B2.1
EPI_ISL_18132504,turkey,domesticated bird,2022-04-10,USA,Wisconsin,american_anchor,B2.1
EPI_ISL_18132507,Ross's_Goose,wild bird,2022-04-01,USA,North Dakota,american_anchor,B2.1
EPI_ISL_18132515,Sanderling,wild bird,2022-02-21,USA,New York,american_anchor,A2
EPI_ISL_18132521,chicken,domesticated bird,2022-03-25,USA,Iowa,american_anchor,A1
EPI_ISL_18132522,Wild_turkey,domesticated bird,2022-04-12,USA,Montana,american_anchor,B4.1
EPI_ISL_18132542,Ross's_Goose,wild bird,2022-03-22,USA,North Dakota,american_anchor,B2.1
EPI_ISL_18132546,Wood_Duck,wild bird,2022-04-14,USA,Michigan,american_anchor,B1.1
EPI_ISL_18132563,Wood_Duck,wild bird,2022-03-23,USA,Michigan,american_anchor,B1.2
EPI_ISL_18132571,Wild_turkey,domesticated bird,2022-04-12,USA,Wyoming,american_anchor,B2.1
EPI_ISL_18132572,goose,wild bird,2022-04-27,USA,Alaska,american_anchor,B3.2
EPI_ISL_18132576,chicken,domesticated bird,2022-03-10,USA,Iowa,american_anchor,A1
EPI_ISL_18132582,Wood_Duck,wild bird,2022-04-26,USA,Minnesota,american_anchor,B2.1
EPI_ISL_18132599,chicken,domesticated bird,2022-02-11,USA,Kentucky,american_anchor,A1
EPI_ISL_18132603,chicken,domesticated bird,2022-02-11,USA,Kentucky,american_anchor,A1
EPI_ISL_18132607,chicken,domesticated bird,2022-02-11,USA,Kentucky,american_anchor,A1
EPI_ISL_18132609,Vulture,wild bird,2022-04-13,USA,Florida,american_anchor,B1.1
EPI_ISL_18132612,chicken,domesticated bird,2022-04-19,USA,Pennsylvania,american_anchor,A1
EPI_ISL_18132621,Vulture,wild bird,2022-04-13,USA,Florida,american_anchor,B1.1
EPI_ISL_18132622,chicken,domesticated bird,2022-03-02,USA,Missouri,american_anchor,A1
EPI_ISL_18132628,chicken,domesticated bird,2022-03-02,USA,Missouri,american_anchor,A1
EPI_ISL_18132640,chicken,domesticated bird,2022-04-25,USA,Michigan,american_anchor,B1.2
EPI_ISL_18132644,chicken,domesticated bird,2022-04-25,USA,Michigan,american_anchor,B1.2
EPI_ISL_18132649,turkey,domesticated bird,2022-04-12,USA,Minnesota,american_anchor,B3.1
EPI_ISL_18132651,chicken,domesticated bird,2022-03-28,USA,North Dakota,american_anchor,B3.1
EPI_ISL_18132656,chicken,domesticated bird,2022-03-17,USA,Maryland,american_anchor,A1
EPI_ISL_18132657,turkey,domesticated bird,2022-04-12,USA,Minnesota,american_anchor,B3.1
EPI_ISL_18132668,chicken,domesticated bird,2022-04-25,USA,Michigan,american_anchor,B1.2
EPI_ISL_18132673,turkey,domesticated bird,2022-04-09,USA,Minnesota,american_anchor,B2.1
EPI_ISL_18132676,turkey,domesticated bird,2022-04-07,USA,Minnesota,american_anchor,B2.1
EPI_ISL_18132677,chicken,domesticated bird,2022-03-07,USA,Maryland,american_anchor,A1
EPI_ISL_18132690,turkey,domesticated bird,2022-03-30,USA,Minnesota,american_anchor,B2.1
EPI_ISL_18132691,chicken,domesticated bird,2022-03-03,USA,Maryland,american_anchor,A1
EPI_ISL_18132696,turkey,domesticated bird,2022-03-25,USA,Minnesota,american_anchor,B2.1
EPI_ISL_18132703,turkey,domesticated bird,2022-02-12,USA,Kentucky,american_anchor,A1
EPI_ISL_18132708,turkey,domesticated bird,2022-04-06,USA,South Dakota,american_anchor,B2.1
EPI_ISL_18132715,turkey,domesticated bird,2022-04-09,USA,Kansas,american_anchor,A1
EPI_ISL_18132724,turkey,domesticated bird,2022-04-04,USA,Minnesota,american_anchor,B3.1
EPI_ISL_18132739,turkey,domesticated bird,2022-03-31,USA,Iowa,american_anchor,B2.1
EPI_ISL_18132752,turkey,domesticated bird,2022-03-07,USA,Missouri,american_anchor,A1
EPI_ISL_18132755,turkey,domesticated bird,2022-04-04,USA,Iowa,american_anchor,B2.1
EPI_ISL_18132794,Bald_Eagle,wild bird,2022-04-14,USA,Minnesota,american_anchor,Minor01
EPI_ISL_18132798,Bald_Eagle,wild bird,2022-04-11,USA,Minnesota,american_anchor,B2.1
EPI_ISL_18132816,turkey,domesticated bird,2022-03-27,USA,North Carolina,american_anchor,A1
EPI_ISL_18132823,turkey,domesticated bird,2022-03-04,USA,South Dakota,american_anchor,A1
EPI_ISL_18132830,turkey,domesticated bird,2022-04-02,USA,South Dakota,american_anchor,B2.1
EPI_ISL_18132838,Bald_Eagle,wild bird,2022-03-01,USA,Missouri,american_anchor,B2.1
