Strain	Genotype	Genotype List Used, >=98.0%	Genotype Sample Title List	Genotype Percent Match List	Genotype Mismatch List	Genotype Average Depth of Coverage List	Date run
A/Owl/Wyoming/USDA-013181-001/2022	B2.1	PB2:am1.2, PB1:ea1, NS:ea1, MP:ea1, HA:ea1, NP:am1.1, NA:ea1, PA:ea1	am1.2:22-007805-001:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.1:22-007805-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.83%, 99.96%, 99.88%, 100.00%, 99.77%, 100.00%, 99.86%, 99.91%	4, 1, 1, 0, 4, 0, 2, 2	Ran on FASTA - No Coverage Report	2026-05-29_14-48-50
A/bald_eagle/Alaska/22-016456-001/2022	B4.1	PB2:am2.2, PB1:ea1, NS:ea1, MP:ea1, HA:ea1, NP:am1.3, NA:ea1, PA:ea1	am2.2:22-010445-001:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.3:22-010445-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.78%, 99.87%, 99.52%, 100.00%, 99.53%, 100.00%, 99.57%, 99.86%	5, 3, 4, 0, 8, 0, 6, 3	Ran on FASTA - No Coverage Report	2026-05-29_14-48-50
A/chicken/Chile/241252-3/2023	Not assigned: Only 7 segments >98.0% match found of total 8 segments in input file	PB2:am2.1, PB1:am1.2, NS:am1.1, MP:ea1, NP:am1.4.1, NA:ea1, PA:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, ea1:EPI-ISL-20215425:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.39%, 99.21%, 99.40%, 99.39%, 97.97%, 99.13%, 99.29%, 99.58%	14, 18, 5, 6, 36, 13, 10, 9	Ran on FASTA - No Coverage Report	2026-05-29_14-48-50
A/Turkey/Chile/245558-3/2023	Not assigned: Only 7 segments >98.0% match found of total 8 segments in input file	PB2:am2.1, PB1:am1.2, NS:am1.1, MP:ea1, NP:am1.4.1, NA:ea1, PA:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, ea1:EPI-ISL-20215425:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.17%, 99.30%, 99.40%, 99.39%, 97.86%, 98.93%, 99.36%, 99.44%	19, 16, 5, 6, 38, 16, 9, 12	Ran on FASTA - No Coverage Report	2026-05-29_14-48-50
A/Turkey/Chile/255558-4/2023	Not assigned: Only 7 segments >98.0% match found of total 8 segments in input file	PB2:am2.1, PB1:am1.2, NS:am1.1, MP:ea1, NP:am1.4.1, NA:ea1, PA:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, ea1:EPI-ISL-20215425:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.12%, 99.30%, 99.40%, 99.39%, 97.86%, 98.93%, 99.36%, 99.44%	20, 16, 5, 6, 38, 16, 9, 12	Ran on FASTA - No Coverage Report	2026-05-29_14-48-50
A/eagle/Colorado/22-012393-001/2022	B2.2	PB2:am1.2, PB1:ea1, NS:am1.2, MP:ea1, HA:ea1, NP:am1.1, NA:ea1, PA:ea1	am1.2:22-007805-001:PB2, ea1:22-003707-003:PB1, am1.2:22-010668-001:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.1:22-007805-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.78%, 99.82%, 99.64%, 99.80%, 99.88%, 99.73%, 99.64%, 99.91%	5, 4, 3, 2, 2, 4, 5, 2	Ran on FASTA - No Coverage Report	2026-05-29_14-48-50
A/red_tailed_hawk/Minnesota/22-013395-011/2022	B1.1	PB2:am1.1, PB1:am1.1, NS:ea1, MP:ea1, HA:ea1, NP:am1.2, NA:ea1, PA:ea1	am1.1:22-009287-001:PB2, am1.1:22-009287-001:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.2:22-009287-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.47%, 99.74%, 99.64%, 100.00%, 99.59%, 99.80%, 99.72%, 99.72%	12, 6, 3, 0, 7, 3, 4, 6	Ran on FASTA - No Coverage Report	2026-05-29_14-48-50
A/frigatebird/Rio_de_Janeiro/MAPA-1532N/2023	Not assigned: Only 7 segments >98.0% match found of total 8 segments in input file	PB2:am2.1, PB1:am1.2, NS:am1.1, MP:ea1, NP:am1.4.1, NA:ea1, PA:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, ea1:EPI-ISL-20215425:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.25%, 99.16%, 99.17%, 99.34%, 97.69%, 98.93%, 99.27%, 99.49%	17, 19, 7, 6, 41, 16, 10, 11	Ran on FASTA - No Coverage Report	2026-05-29_14-48-51
A/snow_goose/Kansas/W22-177B/2022	B2.1	PB2:am1.2, PB1:ea1, NS:ea1, MP:ea1, HA:ea1, NP:am1.1, NA:ea1, PA:ea1	am1.2:22-007805-001:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.1:22-007805-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.91%, 99.96%, 99.88%, 100.00%, 99.88%, 100.00%, 99.93%, 99.91%	2, 1, 1, 0, 2, 0, 1, 2	Ran on FASTA - No Coverage Report	2026-05-29_14-48-51
A/peruvian_booby/Peru/LIM-INS-005/2023	Not assigned: Only 7 segments >98.0% match found of total 8 segments in input file	PB2:am2.1, PB1:am1.2, NS:am1.1, MP:ea1, NP:am1.4.1, NA:ea1, PA:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, ea1:EPI-ISL-20215425:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:NA, ea1:EPI-ISL-20215425:PA	99.44%, 99.55%, 99.37%, 99.39%, 97.56%, 99.00%, 99.36%, 98.27%	4, 4, 5, 6, 17, 15, 9, 8	Ran on FASTA - No Coverage Report	2026-05-29_14-48-51
A/turkey/Missouri/22-009845-004/2022	B2.1	PB2:am1.2, PB1:ea1, NS:ea1, MP:ea1, HA:ea1, NP:am1.1, NA:ea1, PA:ea1	am1.2:22-007805-001:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.1:22-007805-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.83%, 99.96%, 99.64%, 100.00%, 99.88%, 100.00%, 99.72%, 99.91%	4, 1, 3, 0, 2, 0, 4, 2	Ran on FASTA - No Coverage Report	2026-05-29_14-48-51
A/great_horned_owl/Massachusetts/22-016611-011/2022	A1	PB2:ea1, PB1:ea1, NS:ea1, MP:ea1, HA:ea1, NP:ea1, NA:ea1, PA:ea1	ea1:22-003707-003:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, ea1:22-003707-003:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.74%, 99.78%, 99.76%, 99.90%, 99.65%, 99.87%, 99.86%, 99.77%	6, 5, 2, 1, 6, 2, 2, 5	Ran on FASTA - No Coverage Report	2026-05-29_14-48-51
A/chicken/Iowa/USDA-009819-001/2022	B2.1	PB2:am1.2, PB1:ea1, NS:ea1, MP:ea1, HA:ea1, NP:am1.1, NA:ea1, PA:ea1	am1.2:22-007805-001:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.1:22-007805-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.87%, 99.96%, 99.76%, 99.90%, 99.94%, 100.00%, 99.79%, 99.95%	3, 1, 2, 1, 1, 0, 3, 1	Ran on FASTA - No Coverage Report	2026-05-29_14-48-51
A/turkey/Washington/22-017048-003-original/2022	B4.1	PB2:am2.2, PB1:ea1, NS:ea1, MP:ea1, HA:ea1, NP:am1.3, NA:ea1, PA:ea1	am2.2:22-010445-001:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.3:22-010445-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.83%, 99.91%, 99.76%, 99.90%, 99.71%, 100.00%, 99.57%, 99.91%	4, 2, 2, 1, 5, 0, 6, 2	Ran on FASTA - No Coverage Report	2026-05-29_14-48-51
A/turkey_vulture/Utah/22-016837-001/2022	B4.1	PB2:am2.2, PB1:ea1, NS:ea1, MP:ea1, HA:ea1, NP:am1.3, NA:ea1, PA:ea1	am2.2:22-010445-001:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.3:22-010445-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.69%, 99.91%, 99.64%, 99.69%, 99.47%, 99.93%, 99.64%, 99.91%	7, 2, 3, 3, 9, 1, 5, 2	Ran on FASTA - No Coverage Report	2026-05-29_14-48-51
A/Gallus_gallus/Santo_Antonio_da_Barra/1611-N3/2025	Not assigned: Only 5 segments >98.0% match found of total 8 segments in input file	NS:am1.1, MP:ea1, HA:ea1, NA:ea1, PA:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, ea1:24-009110-019:HA, am5:23-013078-002:NP, ea1:24-009110-019:NA, ea1:22-003707-003:PA	95.79%, 97.89%, 98.69%, 98.17%, 98.30%, 92.58%, 98.86%, 99.12%	96, 48, 11, 18, 29, 111, 16, 19	Ran on FASTA - No Coverage Report	2026-05-29_14-48-51
A/Chicken/Argentina/21891-2/2025	Not assigned: Only 1 segments >98.0% match found of total 8 segments in input file	MP:ea1	am23:24-010726-001:PB2, am2:22-031266-001:PB1, am1.3:22-008760-007:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.1:22-007805-001:NP, ea1:22-003707-003:NA, ea1b:23-002693-004:PA	83.12%, 89.10%, 91.29%, 98.57%, 97.89%, 97.86%, 97.73%, 85.91%	383, 246, 73, 14, 36, 32, 32, 303	Ran on FASTA - No Coverage Report	2026-05-29_14-48-52
A/Mallard/Connecticut/USDA-003935-001/2022	A1	PB2:ea1, PB1:ea1, NS:ea1, MP:ea1, HA:ea1, NP:ea1, NA:ea1, PA:ea1	ea1:22-003707-003:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, ea1:22-003707-003:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.78%, 99.78%, 99.76%, 100.00%, 99.59%, 99.80%, 99.86%, 99.77%	5, 5, 2, 0, 7, 3, 2, 5	Ran on FASTA - No Coverage Report	2026-05-29_14-48-52
A/mallard/Tennessee/22-024871-019/2022	A1	PB2:ea1, PB1:ea1, NS:ea1, MP:ea1, HA:ea1, NP:ea1, NA:ea1, PA:ea1	ea1:22-003707-003:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, ea1:22-003707-003:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	100.00%, 99.96%, 99.88%, 100.00%, 99.88%, 99.93%, 99.93%, 100.00%	0, 1, 1, 0, 2, 1, 1, 0	Ran on FASTA - No Coverage Report	2026-05-29_14-48-52
A/chicken/Chile/241252-6/2023	Not assigned: Only 7 segments >98.0% match found of total 8 segments in input file	PB2:am2.1, PB1:am1.2, NS:am1.1, MP:ea1, NP:am1.4.1, NA:ea1, PA:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, ea1:EPI-ISL-20215425:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.39%, 99.21%, 99.40%, 99.39%, 97.97%, 99.13%, 99.29%, 99.49%	14, 18, 5, 6, 36, 13, 10, 11	Ran on FASTA - No Coverage Report	2026-05-29_14-48-52
A/double_crested_cormorant/Michigan/22-019205-001/2022	B1.1	PB2:am1.1, PB1:am1.1, NS:ea1, MP:ea1, HA:ea1, NP:am1.2, NA:ea1, PA:ea1	am1.1:22-009287-001:PB2, am1.1:22-009287-001:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.2:22-009287-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.82%, 99.96%, 99.76%, 99.59%, 99.35%, 99.73%, 99.72%, 99.72%	4, 1, 2, 4, 11, 4, 4, 6	Ran on FASTA - No Coverage Report	2026-05-29_14-48-52
A/Ring-necked_Duck/Missouri/USDA-012338-025/2022	B1.1	PB2:am1.1, PB1:am1.1, NS:ea1, MP:ea1, HA:ea1, NP:am1.2, NA:ea1, PA:ea1	am1.1:22-009287-001:PB2, am1.1:22-009287-001:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.2:22-009287-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.91%, 99.78%, 99.76%, 99.80%, 99.65%, 99.93%, 99.86%, 99.58%	2, 5, 2, 2, 6, 1, 2, 9	Ran on FASTA - No Coverage Report	2026-05-29_14-48-52
A/chicken/Cordoba/ICA-3499/2022	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, MP:ea1, HA:ea1, NP:am1.4.1, NA:ea1, PA:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.52%, 99.52%, 99.28%, 99.39%, 99.30%, 99.73%, 99.28%, 99.77%	11, 11, 6, 6, 12, 4, 10, 5	Ran on FASTA - No Coverage Report	2026-05-29_14-48-52
A/bald_eagle/Michigan/22-015054-006/2022	A1	PB2:ea1, PB1:ea1, NS:ea1, MP:ea1, HA:ea1, NP:ea1, NA:ea1, PA:ea1	ea1:22-003707-003:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, ea1:22-003707-003:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.83%, 99.91%, 99.76%, 100.00%, 99.65%, 99.73%, 99.79%, 99.67%	4, 2, 2, 0, 6, 4, 3, 7	Ran on FASTA - No Coverage Report	2026-05-29_14-48-52
A/Blackish_oystercatcher/OHiggins/240628/2023	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, MP:ea1, HA:ea1, NP:am1.4.1, NA:ea1, PA:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.39%, 99.30%, 99.05%, 99.29%, 99.24%, 99.06%, 99.43%, 99.67%	14, 16, 8, 7, 13, 14, 8, 7	Ran on FASTA - No Coverage Report	2026-05-29_14-48-52
A/Snow_Goose/North_Dakota/USDA-010037-002/2022	B2.1	PB2:am1.2, PB1:ea1, NS:ea1, MP:ea1, HA:ea1, NP:am1.1, NA:ea1, PA:ea1	am1.2:22-007805-001:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.1:22-007805-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.96%, 99.82%, 99.88%, 100.00%, 99.59%, 100.00%, 99.79%, 99.86%	1, 4, 1, 0, 7, 0, 3, 3	Ran on FASTA - No Coverage Report	2026-05-29_14-48-52
A/turkey/South_Dakota/22-009534-001/2022	A1	PB2:ea1, PB1:ea1, NS:ea1, MP:ea1, HA:ea1, NP:ea1, NA:ea1, PA:ea1	ea1:22-003707-003:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, ea1:22-003707-003:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.74%, 99.78%, 99.88%, 99.80%, 99.47%, 99.60%, 99.86%, 99.77%	6, 5, 1, 2, 9, 6, 2, 5	Ran on FASTA - No Coverage Report	2026-05-29_14-48-53
A/South_polar_skua/Antarctica/INACH-UC-UCHILE-SKU5L/2024	Not assigned: Only 6 segments >98.0% match found of total 8 segments in input file	PB2:am2.1, PB1:am1.2, NS:am1.1, MP:ea1, NP:am1.4.1, NA:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, ea1:EPI-ISL-20215425:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:NA, ea1:EPI-ISL-20215425:PA	99.21%, 98.90%, 99.28%, 98.88%, 97.75%, 98.80%, 98.51%, 97.76%	18, 25, 6, 11, 40, 18, 21, 50	Ran on FASTA - No Coverage Report	2026-05-29_14-48-53
A/Nasua_nasua/Uruguay/145M2/2023	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, MP:ea1, HA:ea1, NP:am1.4.1, NA:ea1, PA:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.25%, 99.16%, 99.28%, 99.29%, 99.12%, 99.00%, 99.15%, 99.53%	17, 19, 6, 7, 15, 15, 12, 10	Ran on FASTA - No Coverage Report	2026-05-29_14-48-53
A/Lesser_Scaup/Florida/USDA-004623-002/2022	B1.1	PB2:am1.1, PB1:am1.1, NS:ea1, MP:ea1, HA:ea1, NP:am1.2, NA:ea1, PA:ea1	am1.1:22-009287-001:PB2, am1.1:22-009287-001:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.2:22-009287-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.74%, 99.87%, 99.88%, 99.90%, 99.71%, 99.87%, 99.86%, 99.81%	6, 3, 1, 1, 5, 2, 2, 4	Ran on FASTA - No Coverage Report	2026-05-29_14-48-53
A/bald_eagle/Unknown/23-034211-002-original/2023	B1.2	PB2:am1.1, PB1:am1.1, NS:ea1, MP:ea1, HA:ea1, NP:am1.2, NA:ea1, PA:am1	am1.1:22-009287-001:PB2, am1.1:22-009287-001:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.2:22-009287-001:NP, ea1:22-003707-003:NA, am1:22-008890-001:PA	99.65%, 99.65%, 99.76%, 99.90%, 99.65%, 99.87%, 99.86%, 99.95%	8, 8, 2, 1, 6, 2, 2, 1	Ran on FASTA - No Coverage Report	2026-05-29_14-48-53
A/Goose/Argentina/389-1/2023	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, MP:ea1, HA:ea1, NP:am1.4.1, NA:ea1, PA:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.47%, 99.34%, 99.52%, 99.49%, 99.18%, 99.06%, 99.22%, 99.63%	12, 15, 4, 5, 14, 14, 11, 8	Ran on FASTA - No Coverage Report	2026-05-29_14-48-53
A/Green-winged_Teal/North_Carolina/USDA-003830-009/2022	A1	PB2:ea1, PB1:ea1, NS:ea1, MP:ea1, HA:ea1, NP:ea1, NA:ea1, PA:ea1	ea1:22-003707-003:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, ea1:22-003707-003:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.74%, 99.96%, 99.76%, 100.00%, 99.65%, 99.73%, 99.93%, 99.95%	6, 1, 2, 0, 6, 4, 1, 1	Ran on FASTA - No Coverage Report	2026-05-29_14-48-53
A/chicken/OHiggins/241252-6/2023	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, MP:ea1, HA:ea1, NP:am1.4.1, NA:ea1, PA:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.34%, 99.21%, 99.40%, 99.39%, 99.30%, 99.13%, 99.15%, 99.49%	15, 18, 5, 6, 12, 13, 12, 11	Ran on FASTA - No Coverage Report	2026-05-29_14-48-53
