Strain	Genotype	Genotype List Used, >=98.0%	Genotype Sample Title List	Genotype Percent Match List	Genotype Mismatch List	Genotype Average Depth of Coverage List	Date run
EPI_ISL_20387869	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.25%, 99.30%, 99.05%, 99.36%, 99.40%, 99.06%, 99.53%, 99.29%	17, 16, 8, 9, 13, 16, 7, 7	Ran on FASTA - No Coverage Report	2026-06-01_16-09-54
EPI_ISL_20387870	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.25%, 99.30%, 99.17%, 99.36%, 99.44%, 99.00%, 99.53%, 99.29%	17, 16, 7, 9, 12, 17, 7, 7	Ran on FASTA - No Coverage Report	2026-06-01_16-09-54
EPI_ISL_20387871	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.21%, 99.30%, 99.17%, 99.36%, 99.40%, 99.00%, 99.47%, 99.19%	18, 16, 7, 9, 13, 17, 8, 8	Ran on FASTA - No Coverage Report	2026-06-01_16-09-54
EPI_ISL_20387872	Not assigned: Only 6 segments >98.0% match found of total 6 segments in input file	PB2:am2.1, PB1:am1.2, NS:am1.1, PA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:PA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.17%, 99.34%, 99.17%, 99.35%, 99.53%, 99.19%	19, 15, 7, 14, 7, 8	Ran on FASTA - No Coverage Report	2026-06-01_16-09-55
EPI_ISL_20387873	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.25%, 99.34%, 99.40%, 99.29%, 99.44%, 99.18%, 99.60%, 99.08%	17, 15, 5, 10, 12, 14, 6, 9	Ran on FASTA - No Coverage Report	2026-06-01_16-09-55
EPI_ISL_20387874	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.25%, 99.34%, 99.40%, 99.22%, 99.35%, 99.24%, 99.53%, 99.08%	17, 15, 5, 11, 14, 13, 7, 9	Ran on FASTA - No Coverage Report	2026-06-01_16-09-55
EPI_ISL_20387875	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.21%, 99.38%, 99.28%, 99.08%, 99.35%, 99.24%, 99.60%, 99.19%	18, 14, 6, 13, 14, 13, 6, 8	Ran on FASTA - No Coverage Report	2026-06-01_16-09-56
EPI_ISL_20387876	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.25%, 99.38%, 99.17%, 99.29%, 99.35%, 99.06%, 99.60%, 99.19%	17, 14, 7, 10, 14, 16, 6, 8	Ran on FASTA - No Coverage Report	2026-06-01_16-09-56
EPI_ISL_20387877	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.21%, 99.21%, 98.93%, 99.15%, 99.40%, 99.00%, 99.47%, 99.08%	18, 18, 9, 12, 13, 17, 8, 9	Ran on FASTA - No Coverage Report	2026-06-01_16-09-56
EPI_ISL_20387878	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.17%, 99.25%, 98.93%, 99.08%, 99.35%, 98.94%, 99.47%, 98.98%	19, 17, 9, 13, 14, 18, 8, 10	Ran on FASTA - No Coverage Report	2026-06-01_16-09-57
EPI_ISL_20387879	Not assigned: Only 7 segments >98.0% match found of total 7 segments in input file	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	98.99%, 99.21%, 99.28%, 98.94%, 99.35%, 99.53%, 99.08%	23, 18, 6, 15, 14, 7, 9	Ran on FASTA - No Coverage Report	2026-06-01_16-09-57
EPI_ISL_20450058	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.17%, 99.30%, 99.28%, 99.01%, 99.21%, 98.94%, 99.20%, 98.98%	19, 16, 6, 14, 17, 18, 12, 10	Ran on FASTA - No Coverage Report	2026-06-01_16-09-57
EPI_ISL_20450059	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.17%, 99.30%, 99.28%, 99.01%, 99.21%, 99.00%, 99.20%, 98.98%	19, 16, 6, 14, 17, 17, 12, 10	Ran on FASTA - No Coverage Report	2026-06-01_16-09-58
EPI_ISL_20450060	Not assigned: Only 7 segments >98.0% match found of total 7 segments in input file	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.08%, 99.25%, 99.28%, 98.94%, 99.21%, 99.33%, 98.98%	21, 17, 6, 15, 17, 10, 10	Ran on FASTA - No Coverage Report	2026-06-01_16-09-58
EPI_ISL_20450074	Not assigned: Only 7 segments >98.0% match found of total 7 segments in input file	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, ea1:22-003707-003:MP	98.95%, 99.03%, 98.93%, 98.94%, 99.40%, 98.59%, 99.19%	24, 22, 9, 15, 13, 24, 8	Ran on FASTA - No Coverage Report	2026-06-01_16-09-58
EPI_ISL_20450076	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	98.82%, 98.90%, 98.57%, 98.94%, 99.35%, 98.77%, 99.20%, 99.39%	18, 25, 12, 15, 14, 21, 12, 6	Ran on FASTA - No Coverage Report	2026-06-01_16-09-58
EPI_ISL_20450086	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.21%, 99.34%, 99.28%, 99.01%, 99.35%, 99.12%, 99.53%, 99.19%	18, 15, 6, 14, 14, 15, 7, 8	Ran on FASTA - No Coverage Report	2026-06-01_16-09-59
EPI_ISL_20450087	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.25%, 99.38%, 99.40%, 99.29%, 99.44%, 99.24%, 99.47%, 99.19%	17, 14, 5, 10, 12, 13, 8, 8	Ran on FASTA - No Coverage Report	2026-06-01_16-09-59
EPI_ISL_20450088	Not assigned: Only 6 segments >98.0% match found of total 7 segments in input file	PB2:am2.1, NS:am1.1, NA:ea1, PA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	98.64%, 99.40%, 99.08%, 99.44%, 97.53%, 99.60%, 99.08%	31, 5, 13, 12, 39, 6, 9	Ran on FASTA - No Coverage Report	2026-06-01_16-10-00
EPI_ISL_20450090	Not assigned: Only 7 segments >98.0% match found of total 7 segments in input file	PB2:am2.1, PB1:am1.2, NS:am1.1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.25%, 99.34%, 99.40%, 99.35%, 99.06%, 99.53%, 99.08%	17, 15, 5, 14, 16, 7, 9	Ran on FASTA - No Coverage Report	2026-06-01_16-10-00
EPI_ISL_20450092	Not assigned: Only 7 segments >98.0% match found of total 7 segments in input file	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.30%, 99.43%, 99.40%, 99.43%, 99.44%, 99.53%, 99.19%	16, 13, 5, 8, 12, 7, 8	Ran on FASTA - No Coverage Report	2026-06-01_16-10-00
EPI_ISL_20450094	Not assigned: Only 7 segments >98.0% match found of total 7 segments in input file	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.30%, 99.34%, 99.40%, 99.08%, 99.40%, 99.60%, 99.08%	16, 15, 5, 13, 13, 6, 9	Ran on FASTA - No Coverage Report	2026-06-01_16-10-01
EPI_ISL_20450095	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.30%, 99.43%, 99.17%, 99.22%, 99.44%, 99.12%, 99.53%, 99.19%	16, 13, 7, 11, 12, 15, 7, 8	Ran on FASTA - No Coverage Report	2026-06-01_16-10-01
EPI_ISL_20450096	Not assigned: Only 7 segments >98.0% match found of total 7 segments in input file	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	98.90%, 98.90%, 98.69%, 98.94%, 98.77%, 99.13%, 99.39%	25, 25, 11, 15, 21, 13, 6	Ran on FASTA - No Coverage Report	2026-06-01_16-10-01
EPI_ISL_20450100	Not assigned: Only 6 segments >98.0% match found of total 6 segments in input file	PB2:am2.1, PB1:am1.2, NS:am1.1, PA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:PA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.03%, 99.43%, 99.28%, 99.40%, 99.60%, 99.08%	22, 13, 6, 13, 6, 9	Ran on FASTA - No Coverage Report	2026-06-01_16-10-02
EPI_ISL_20450101	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.21%, 99.38%, 99.28%, 99.08%, 99.30%, 99.12%, 99.53%, 99.19%	18, 14, 6, 13, 15, 15, 7, 8	Ran on FASTA - No Coverage Report	2026-06-01_16-10-02
EPI_ISL_20450103	Not assigned: Only 7 segments >98.0% match found of total 7 segments in input file	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.25%, 99.38%, 99.40%, 98.94%, 99.30%, 99.53%, 99.19%	17, 14, 5, 15, 15, 7, 8	Ran on FASTA - No Coverage Report	2026-06-01_16-10-02
EPI_ISL_20450104	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.25%, 99.25%, 98.93%, 99.29%, 99.40%, 99.06%, 99.47%, 99.29%	17, 17, 9, 10, 13, 16, 8, 7	Ran on FASTA - No Coverage Report	2026-06-01_16-10-02
EPI_ISL_20450106	Not assigned: Only 7 segments >98.0% match found of total 8 segments in input file	PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	94.73%, 99.34%, 99.17%, 99.22%, 99.30%, 98.88%, 99.60%, 99.19%	120, 15, 7, 11, 15, 19, 6, 8	Ran on FASTA - No Coverage Report	2026-06-01_16-10-03
EPI_ISL_20450109	Not assigned: Only 7 segments >98.0% match found of total 7 segments in input file	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.25%, 99.30%, 99.28%, 99.22%, 99.35%, 99.60%, 99.19%	17, 16, 6, 11, 14, 6, 8	Ran on FASTA - No Coverage Report	2026-06-01_16-10-03
EPI_ISL_20450113	Not assigned: Only 6 segments >98.0% match found of total 6 segments in input file	PB2:am2.1, PB1:am1.2, NS:am1.1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.12%, 99.38%, 99.28%, 99.12%, 99.47%, 99.19%	20, 14, 6, 15, 8, 8	Ran on FASTA - No Coverage Report	2026-06-01_16-10-03
EPI_ISL_20450117	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.25%, 99.25%, 99.05%, 99.22%, 99.40%, 99.00%, 99.47%, 99.19%	17, 17, 8, 11, 13, 17, 8, 8	Ran on FASTA - No Coverage Report	2026-06-01_16-10-04
EPI_ISL_18132153	A1	PB2:ea1, PB1:ea1, NS:ea1, NA:ea1, PA:ea1, HA:ea1, NP:ea1, MP:ea1	ea1:22-003707-003:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, ea1:22-003707-003:NP, ea1:22-003707-003:MP	99.83%, 99.91%, 99.76%, 99.86%, 99.77%, 99.65%, 99.87%, 100.00%	4, 2, 2, 2, 5, 6, 2, 0	Ran on FASTA - No Coverage Report	2026-06-01_16-10-04
EPI_ISL_18133089	A2	PB2:ea1, PB1:ea2, NS:ea1, NA:ea2, PA:ea1, HA:ea2, NP:ea1, MP:ea1	ea1:22-003707-003:PB2, ea2:22-036180-006:PB1, ea1:22-003707-003:NS, ea2:22-008064-001:NA, ea1:22-003707-003:PA, ea2:22-008064-001:HA, ea1:22-003707-003:NP, ea1:22-003707-003:MP	99.65%, 99.74%, 99.64%, 99.86%, 99.86%, 99.77%, 99.53%, 99.90%	8, 6, 3, 2, 3, 4, 7, 1	Ran on FASTA - No Coverage Report	2026-06-01_16-10-04
EPI_ISL_18133079	B1.2	PB2:am1.1, PB1:am1.1, NS:ea1, NA:ea1, PA:am1, HA:ea1, NP:am1.2, MP:ea1	am1.1:22-009287-001:PB2, am1.1:22-009287-001:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:NA, am1:22-008890-001:PA, ea1:22-003707-003:HA, am1.2:22-009287-001:NP, ea1:22-003707-003:MP	99.83%, 99.87%, 99.64%, 99.93%, 99.91%, 99.71%, 99.73%, 99.80%	4, 3, 3, 1, 2, 5, 4, 2	Ran on FASTA - No Coverage Report	2026-06-01_16-10-05
EPI_ISL_18133073	A1	PB2:ea1, PB1:ea1, NS:ea1, NA:ea1, PA:ea1, HA:ea1, NP:ea1, MP:ea1	ea1:22-003707-003:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, ea1:22-003707-003:NP, ea1:22-003707-003:MP	100.00%, 99.96%, 100.00%, 99.86%, 99.95%, 99.82%, 99.93%, 100.00%	0, 1, 0, 2, 1, 3, 1, 0	Ran on FASTA - No Coverage Report	2026-06-01_16-10-05
